"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"58","SD-0151",NA,"376,611","3,885,560","6,595","X","156","156","210MNCS",-11839260.6,4178202.226,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"59","BC-0153",NA,"378,936","3,890,940","6,738","S-02609","283","283","",-11836509.15,4184842.034,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"60","EB-291",NA,"409,347","3,956,949","6,814","RG-28064 X2","727","725","121TSUQsf",-11800166.33,4266604.747,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"61","EB-417",NA,"415,225","3,934,102","6,740","RG-48785","320","320","121TSUQa",-11792662.17,4238459.972,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"62","AR-0214",NA,"214,258","4,072,999","5,555","SJ-04019","370","370","",-12044873.22,4405670.267,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"63","SD-0200",NA,"384,994","3,883,800","6,826","X","325","325","325MDER",-11828996.29,4176178.441,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"64","BC-0331",NA,"378,041","3,893,250","6,808","S-02873","","570","",-11837640.73,4187662.914,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"65","PB-0017",NA,"378,905","3,936,877","5,241","X","","","",-11837304.78,4241366.509,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"66","EB-189",NA,"417,201","3,959,125","7,108","RG-40345","530","530","121TSUQa",-11790522.1,4269390.959,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"67","SV-0063",NA,"377,935","3,901,220","6,512","RG-71929","325","325","325MDER",-11837901.83,4197450.127,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"68","WL-0148",NA,"414,236","3,917,349","6,036","RG-81683","100","100","",-11793679.84,4217803.396,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"69","EB-105",NA,"403,911","3,950,729","6,580","RG-71748","854","854","121TSUQs/121TSUQsf",-11806775.65,4258845.347,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"70","AR-0209",NA,"233,169","4,081,107","5,642","X","19","19","110ALVM",-12021637.24,4416583.478,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"71","EB-602",NA,"409,847","3,948,341","6,823","RG-52310","395","395","121TSUQs",-11799443.21,4255971.747,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"72","EB-489",NA,"401,300","3,956,280","6,250","RG-20516 S12","1,930","1,920","121TSUQacu/121TSUQsf",-11810063.68,4265671.273,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"73","TO-0478",NA,"406,713","3,892,370","6,308","","","440","112QTBF",-11802584.3,4187000.848,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"74","PC-105",NA,"368,824","3,908,214","5,869","RG-49957 X2","196","196","221MRSN/WWCN",-11849171.13,4205889.946,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"75","EB-320",NA,"404,048","3,938,249","6,268","RG-22251 X3","200","200","121TSUQs",-11806441.73,4243436.585,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"76","SD-0088",NA,"385,031","3,871,520","7,212","X","120","120","325MDER",-11828761.86,4161127.957,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"77","EB-327",NA,"398,568","3,942,028","6,187","RG-65489","300","300","121TSUQs",-11813226.61,4248025.782,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"78","SV-0098",NA,"380,030","3,901,606","6,355","RG-80904","340","340","325MDER",-11835345.35,4197958.941,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"79","SD-0301",NA,"390,665","3,891,830","6,779","X","160","160","050QUAL",-11822190.31,4186117.551,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"80","EB-282",NA,"413,084","3,949,010","6,890","X","296","296","121TSUQs",-11795469.99,4256838.088,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"81","BC-0068",NA,"378,720","3,892,390","6,702","S-02659 CLW","360","360","",-11836796.79,4186618.341,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"82","EB-402",NA,"403,682","3,928,549","6,165","RG-12036","123","123","112ANCH",-11806762.97,4231468.701,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"83","SV-0139",NA,"379,505","3,901,088","6,403","RG-91144","260","260","310ABO",-11835979.14,4197313.837,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"84","EB-151",NA,"411,757","3,950,685","6,953","exempt","376","363","121TSUQs",-11797122.69,4258891.569,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"85","BC-0221",NA,"377,830","3,892,050","6,799","S-02775","1,325","1,275","",-11837878.83,4186186.291,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"86","TO-0402",NA,"403,630","3,875,570","6,222","","","320","112QTBF",-11806134.82,4166354.059,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"87","SV-0072",NA,"377,909","3,899,152","6,652","RG-77467","400","400","325MDER",-11837899.45,4194908.902,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"88","BC-0240",NA,"377,232","3,884,960","6,614","S-01407","","170","",-11838492.37,4177476.584,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"89","PB-0010",NA,"378,639","3,937,210","5,226","RG-83238","165","165","",-11837637.03,4241772.851,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"90","SD-0155",NA,"373,430","3,883,700","6,573","X","200","200","210MNCS",-11843113.37,4175867.214,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"91","BC-0246",NA,"377,221","3,892,190","6,860","S-02639","250","250","",-11838625.36,4186348.038,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"92","SD-0254",NA,"376,360","3,890,470","7,040","X","230","230","231CHNL",-11839648.86,4184222.497,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"93","SV-0110",NA,"379,957","3,898,396","6,648","RG-65094","480","480","325MDER",-11835382.48,4194013.9,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"94","WL-0146",NA,"368,090","3,911,554","5,647","RG-84117 POD1","500","500","",-11850129.55,4209984.489,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"95","SD-0142",NA,"374,997","3,885,880","6,740","X","38","38","110ALVM",-11841236.9,4178567.672,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"96","AR-0110",NA,"244,588","4,097,170","5,947","X","","","",-12008002.3,4437157.272,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"97","PC-015",NA,"368,963","3,907,874","5,859","X","100","100","231PFDFU",-11848994.92,4205474.364,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"98","EB-144",NA,"413,750","3,948,232","6,941","exempt","78","78","121TSUQs",-11794641.51,4255884.927,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"99","SV-0137",NA,"379,805","3,898,959","6,606","RG-66663","350","350","325MDER",-11835577.52,4194703.027,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"100","PB-0005",NA,"377,559","3,937,101","5,198","X","12","12","",-11838961.62,4241620.184,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"101","EB-584",NA,"407,524","3,949,892","6,734","RG-58878","760","760","121TSUQs",-11802320.14,4257858.499,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"102","EB-149",NA,"404,388","3,947,589","6,466","exempt","465","453","121TSUQs",-11806147.29,4254972.341,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"103","SV-0138",NA,"380,090","3,899,253","6,707","RG-64552","450","450","325MDER",-11835233.74,4195068.855,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"104","EB-662",NA,"407,765","3,939,546","6,483","RG-86221","1,800","1,140","121TSUQs",-11801891.88,4245085.566,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"105","WL-0152",NA,"356,540","3,963,133","8,102","RG-30359 POD2","400","400","",-11865291.33,4273389.894,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"106","SD-0086",NA,"382,935","3,872,140","7,294","X","200","200","325MDER",-11831327.25,4161854.718,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"107","EB-077",NA,"415,810","3,955,990","7,059","RG-52237","640","640","121TSUQsf",-11792198.37,4265497.722,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"108","EB-193",NA,"416,322","3,958,235","6,919","RG-69660","340","340","121TSUQsa",-11791594.19,4268279.949,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"109","EB-123",3.54e+14,"414,198","3,949,035","6,964","RG-01114","1,159","860","121TSUQs/121TSUQsa",-11794100.04,4256882.348,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"110","EB-290",NA,"409,264","3,956,135","6,853","RG-28064 X","750","750","121TSUQsf",-11800258.26,4265597.175,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"111","SD-0141",NA,"374,854","3,885,880","6,590","X","25","25","110ALVM",-11841411.53,4178565.255,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"112","EB-089",NA,"413,650","3,957,860","6,906","RG-37587","535","535","121TSUQs",-11794879.76,4267784.464,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"113","TC-237",NA,"416,015","4,096,990","7,873","CO-112858 A","337","337","",-11793642.52,4441245.192,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"114","TO-0472",NA,"407,605","3,878,310","6,240","","","63","310GLOR",-11801319.28,4169762.955,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"115","BC-0059",NA,"381,263","3,890,240","6,708","S-02066","","343","",-11833654.6,4184020.674,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"116","SD-0091",NA,"385,863","3,870,740","7,209","X","180","180","325MDER",-11827735.49,4160185.418,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"117","EB-128",NA,"414,020","3,957,360","6,973","RG-34114","400","400","121TSUQa",-11794418.23,4267170.569,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"118","AR-0099",NA,"241,689","4,091,530","5,823","SJ-02083","23","23","",-12011409.37,4429973.117,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"119","EB-241",3.54e+14,"408,198","3,946,616","6,595","RG-13528","50","50","121TSUQs",-11801449.44,4253820.08,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"120","SD-0163",NA,"373,801","3,882,230","6,320","X","79","79","310ABO",-11842635.5,4174070.908,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"121","SV-0039",NA,"378,306","3,901,525","6,453","RG-80954","345","340","310ABO",-11837453.02,4197831.059,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"122","PB-0008",NA,"377,541","3,936,509","5,199","X","","","",-11838973.75,4240889.593,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"123","EB-233",3.54e+14,"412,297","3,941,297","6,792","RG-49910","400","400","121TSUQs",-11796344.57,4247303.284,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"124","EB-117",NA,"415,550","3,943,525","7,067","RG-35297","465","465","121TSUQa",-11792372.71,4250092.765,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"125","WL-0004",NA,"393,180","4,023,664","6,911","RG-85433","32","32","",-11821073.24,4349183.747,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"126","BC-0016",NA,"366,513","3,880,580","5,818","","","","",-11851502.01,4171920.311,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"127","TO-0387",NA,"381,323","3,876,400","7,150","","","45","325MDER",-11833360.57,4167048.456,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"128","SV-0030",NA,"377,508","3,899,590","6,688","RG-68733","425","425","325MDER",-11838397.13,4195440.323,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"129","EB-196",NA,"417,593","3,961,707","7,116","RG-48994","700","700","121TSUQa",-11790068.97,4272589.656,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"130","EB-138",NA,"404,216","3,946,481","6,460","RG-77280","735","735","121TSUQs",-11806344.14,4253601.482,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"131","EB-118",NA,"416,110","3,943,840","7,153","RG-67398","600","600","123GLST",-11791687.96,4250488.257,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"132","EB-084",NA,"410,076","3,942,848","6,642","RG-63499","263","263","121TSUQs",-11799093.31,4249190.707,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"133","SD-0075",NA,"376,894","3,876,120","7,109","X","35","35","325MDER",-11838759.03,4166633.286,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"134","BC-0293",NA,"375,243","3,885,510","6,577","","","","",-11840930.28,4178117.96,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"135","PC-038",NA,"370,917","3,907,656","6,130","RG-65295","95","95","318ABO",-11846599.2,4205240.99,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"136","EB-143",NA,"413,896","3,948,821","6,941","exempt","73","73","121TSUQs",-11794468.96,4256614.345,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"137","BC-0235",NA,"374,859","3,886,090","6,606","","","","",-11841408.96,4178822.946,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"138","BC-0247",NA,"377,844","3,892,010","6,797","S-02775 POD3","450","434","",-11837861.07,4186137.421,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"139","EB-107",3.54e+14,"412,977","3,954,837","7,168","RG-45127","640","640","121TSUQs",-11795671.87,4264038.362,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"140","SD-0232",NA,"393,943","3,879,290","6,541","X","274","274","325MDER",-11818005.37,4170781.69,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"141","TO-0398",NA,"404,218","3,877,290","6,240","","","550","112QTBF",-11805439.54,4168469.714,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"142","SD-0246",NA,"376,029","3,891,130","7,001","X","127","127","231SNRS",-11840064.31,4185026.998,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"143","PC-106",NA,"370,120","3,910,216","5,847","RG-61624","530","530","122SNTFP",-11847619.98,4208375.056,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"144","AR-0058",NA,"235,190","4,084,200","5,678","SJ-02656","21","21","",-12019237.51,4420536.2,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"145","AR-0084",NA,"237,693","4,086,178","5,732","X","","","",-12016191.69,4423111.443,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"146","NM-26934",NA,"370,684","3,908,311","5,942","RG-63893","60","60","210MNCSL",-11846895.91,4206042.284,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
