"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"3169","TV-156",NA,"442,983","4,022,935","6,945","RG-88306","400","400","121CHMT",-11759284.42,4348861.585,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3170","MI-0232",NA,"461,779","3,952,333","7,624","","","100","110AVMB",-11735586.33,4261368.586,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3171","QY-0547",NA,"667,711","3,954,990","4,540","","428","428","221MRSN/231CHNL",-11482129.24,4262795.686,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3172","AS-044",NA,"446,721","4,042,980","7,576","RG-74051","300","300","",-11754800.63,4373895.841,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3173","MI-0015",NA,"466,846","3,889,050","5,812","","","37","300YESO",-11729063.68,4183440.069,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3174","MI-0034",NA,"545,112","3,901,614","4,694","","","70","231SNRS",-11633342.01,4198809.809,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3175","QY-0231",NA,"617,007","3,891,130","4,060","","73","73","110AVMB/221MRSN",-11545540.31,4185140.675,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3176","CX-0027",NA,"575,709","4,055,020","7,230","","","180","211FRHS",-11594273.13,4388731.787,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3177","MI-0017",NA,"438,215","3,906,621","6,934","","","470","300YESO",-11764197.59,4204844.528,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3178","MI-0111",NA,"552,681","3,923,898","4,641","","","75","231SNRS",-11623919.98,4226184.106,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3179","MI-0267",NA,"573,406","3,951,888","4,828","","","85","231CHNL",-11598214.09,4260545.164,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3180","QY-0220",NA,"613,463","3,892,100","4,120","","115","115","110AVMB",-11549856.06,4186386.702,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3181","QY-0176",NA,"615,841","3,895,030","4,060","","108","108","110AVMB",-11546904.12,4189947.144,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3182","TC-316",NA,"444,117","4,089,815","7,597","RG-01441 S9","384","384","120SRVB/110PTODC",-11758420.23,4432523.859,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3183","QY-0466",NA,"669,564","3,927,430","3,872","","168","168","110AVMB",-11480493.7,4228749.327,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3184","QY-0110",NA,"653,980","3,880,360","4,100","","26","26","110AVMB",-11500589.91,4171253.633,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3185","TV-126",NA,"445,254","4,020,385","7,212","RG-44015","420","420","410PRCG/123PICS",-11756447.15,4345703.006,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3186","QY-0138",NA,"581,518","3,887,870","4,338","","56","56","231CHNL",-11588945.46,4181616.469,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3187","QY-0457",NA,"659,985","3,923,610","3,800","","150","150","110AVMB/231SNRS",-11492325.59,4224261.299,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3188","CX-0110",NA,"551,807","4,076,840","6,390","","","24","110AVMB",-11623869.91,4416276.424,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3189","QY-1011",NA,"670,925","3,871,060","4,130","","62","62","110AVMB/231CHNL",-11480127.91,4159490.927,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3190","TV-249",NA,"445,760","4,029,271","6,836","X","130","130","112LAMA",-11755888.6,4356781.236,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3191","QY-0944",NA,"606,167","3,876,450","4,330","","30","30","110AVMB",-11558996.02,4167299.027,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3192","TC-303",NA,"445,859","4,082,527","7,542","RG-91787","112","112","",-11756184.2,4423390.708,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3193","TV-150",NA,"445,312","4,028,085","6,801","RG-78943","84","84","112LAMA",-11756435.48,4355299.006,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3194","UC-0022",NA,"667,599","4,054,947","4,967","CT-00999","364","364","220ENRD",-11479891.74,4387012.415,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3195","MI-0038",NA,"559,095","3,906,087","4,355","","","195","231SNRS",-11616195.38,4204210.007,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3196","QY-0177",NA,"616,353","3,894,660","4,060","","107","107","110AVMB",-11546284.03,4189484.738,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3197","UC-0025",NA,"673,129","3,992,999","4,496","CT-01311","260","260","210MCDK",-11474543.92,4309732.146,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3198","QU-034",NA,"444,399","4,061,080","7,265","RG-16175","56","56","",-11757833.73,4396505.348,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3199","QY-0163",NA,"607,616","3,889,760","4,170","","275","275","220ENRD",-11557035.71,4183601.992,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3200","AH-029",NA,"438,599","4,040,728","7,035","RG-61751","320","320","",-11764879.87,4371016.338,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3201","UC-0070",3.63e+14,"642,831","4,033,710","5,304","X","76","76","211DKOT",-11511153.12,4361057.96,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3202","MI-0041",NA,"563,077","3,902,456","4,526","","","355","231SNRS",-11611351.45,4199712.5,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3203","MI-0121",NA,"590,313","3,922,287","4,725","","","52","231CHNL",-11577778.88,4223829.582,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3204","QY-0181",NA,"615,557","3,893,850","4,060","","620","620","110AVMB/220ENRD",-11547269.72,4188502.683,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3205","QU-004",3.64e+14,"448,107","4,063,193","7,524","RG-10641 S2","500","500","112QTBF",-11753229.26,4399179.159,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3206","QU-086",NA,"443,528","4,062,697","7,565","X","440","429","",-11758932.34,4398522.017,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3207","QY-0255",NA,"611,957","3,896,170","4,020","","60","60","220ENRD",-11551635.01,4191407.181,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3208","UC-0094",3.66e+14,"674,825","4,088,476","4,380","X","140","140","231SNRS",-11470044.24,4428814.49,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3209","QY-0107",NA,"651,552","3,881,130","4,090","","72","72","110AVMB",-11503536.91,4172247.469,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3210","MI-0018",NA,"437,496","3,905,965","6,912","","","80","310GLOR",-11765072.31,4204031.697,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3211","QY-0406",NA,"656,417","3,898,370","4,140","","36","36","110ALVM/231CHNL",-11497236.88,4193298.844,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3212","QY-0533",NA,"665,804","3,950,980","4,350","","113","113","121OGLL",-11484567.41,4257885.91,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3213","QY-0019",NA,"593,967","3,886,750","4,280","","30","30","110ALVM",-11573750.96,4180094.367,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3214","AH-003",NA,"438,881","4,044,061","6,897","RG-51361","410","410","",-11764558.7,4375180.916,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3215","CX-0122",NA,"550,451","4,051,940","6,175","","","10","110ALVM",-11625745.74,4385112.762,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3216","TV-196",3.62e+14,"436,924","4,023,509","6,696","RG-80207","450","450","120SRVB/112LAMAb",-11766806.07,4349524.523,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3217","MI-0021",NA,"443,549","3,902,007","6,825","","","420","300YESO",-11757631.62,4199214.485,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3218","QY-0521",NA,"667,185","3,945,510","4,350","","110","110","121OGLL",-11482995.65,4251099.791,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3219","QY-0479",NA,"659,574","3,930,680","4,010","","227","227","121OGLL",-11492674.95,4232980.23,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3220","QY-1002",NA,"660,710","3,876,030","4,060","","36","36","110AVMB",-11492471.5,4165805.156,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3221","QU-011",NA,"448,142","4,064,339","7,644","RG-10359","114","114","",-11753194.29,4400614.062,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3222","QY-0363",NA,"611,459","3,898,250","4,070","","","","220ENRD",-11552212.54,4193969.593,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3223","UC-0093",3.66e+14,"649,473","4,091,041","4,727","X","73","73","231SNRS",-11501660.34,4432641.065,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3224","MI-0230",NA,"599,823","3,937,487","4,554","","","32","211DKOT/217PRGR/110AVMB",-11565908.52,4242443.959,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3225","UC-0088",3.63e+14,"617,694","4,046,235","6,150","CT-00009","595","595","210CRCS",-11542152.43,4377162.53,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3226","MI-0055",NA,"475,368","3,915,699","6,004","","","35","260SNAN",-11718738.43,4216234.387,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3227","CX-0107",NA,"548,566","4,072,570","6,305","","","45","110ALVM",-11627946.28,4410948.054,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3228","CX-0018",NA,"578,051","4,058,700","6,960","","","45","211CRLL",-11591315.42,4393308.334,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3229","MI-0010",NA,"451,338","3,895,056","6,242","","","16","110AVMB",-11748054.16,4190728.987,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3230","DA-0115",NA,"288,208","3,556,830","4,165","","","222","112SNTF",-11938473.03,3780123.716,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3231","BW-0833",NA,"124,038","3,593,950","4,267","","","","112ANCH",-12133517.23,3818476.152,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3232","BW-0008",NA,"357,712","3,593,880","5,200","","","130","",-11857102.64,3825566.417,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3233","SO-0081",NA,"323,899","3,827,830","5,036","","","232","112SNTF",-11902268.37,4106569.342,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3234","MG-027",NA,"297,649","3,779,995","6,285","RG-74352","530","530","",-11932851.93,4047787.048,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3235","SO-0095",NA,"345,681","3,785,430","5,724","","","29","110ALVM/310MBLC",-11874994.37,4055483.359,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3236","SO-0271",NA,"328,651","3,763,918","4,569","X","5","5","",-11895089.02,4029057.334,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3237","MG-013",NA,"295,273","3,772,038","7,186","RG-37124","200","200","",-11935510.13,4038084.137,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3238","HS-114",NA,"290,016","3,667,630","4,237","HS-01101","240","240","",-11939109.93,3912184.639,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3239","SO-0230",NA,"322,377","3,733,198","4,488","X","86","86","",-11901957.65,3991794.771,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3240","DA-0135",NA,"323,116","3,547,760","4,212","","","440","112SNTF",-11897114.63,3770169.07,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3241","DA-0035",NA,"322,081","3,595,600","4,025","","","","112SNTF",-11899329.59,3826935.805,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3242","JM-022",NA,"295,159","3,644,428","5,692","LRG-06248","500","500","",-11932400.24,3884548.612,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3243","JM-040",NA,"310,109","3,650,189","4,695","LRG-06882","150","150","",-11914745.37,3891795.867,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3244","TO-0001",NA,"376,061","3,792,930","6,173","","","170","310YESO",-11838419.32,4065134.806,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3245","HS-039",NA,"286,947","3,666,273","4,233","X","","27","",-11942734.24,3910479.445,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3246","DA-0130",NA,"289,963","3,548,030","4,540","","","685","",-11936189.22,3769743.408,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3247","JM-024",NA,"295,184","3,643,233","5,583","LRG-06247","535","535","",-11932340.95,3883120.881,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3248","BW-0829",NA,"193,456","3,748,740","6,813","","","290","112ANCH",-12057274.69,4006598.246,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3249","BW-0063",NA,"368,641","3,551,770","4,068","","","960","110ALVM",-11843512.22,3775736.122,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3250","WL-0130",NA,"324,918","3,770,599","4,608","?","","90","110ALVM",-11899735.79,4037063.925,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3251","SA-0206",NA,"241,056","3,742,445","7,445","X","850","800","123SPRSmid_uppe",-11999878.51,4000707.89,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3252","WL-0088",NA,"204,694","3,627,710","5,823","X","","","110ALVM/121GILA",-12039381.28,3861859.444,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3253","BW-0007",NA,"357,931","3,595,700","5,437","","","189","410PRCG",-11856873.85,3827735.981,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3254","BW-0475",NA,"354,610","3,696,450","5,150","","","97","310ABO",-11862578.5,3948189.139,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3255","HS-108",NA,"289,594","3,668,555","4,312","X","","","",-11939636.88,3913282.041,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3256","SO-0040",NA,"363,926","3,802,570","5,995","","","","310ABO",-11853258.99,4076643.18,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3257","DA-0111",NA,"323,516","3,567,420","4,210","","","","",-11897046.31,3793482.639,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3258","DA-0172",NA,"296,714","3,523,060","4,170","","","","",-11927650.66,3740375.356,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3259","SO-0068",NA,"304,659","3,806,600","5,992","","","268","325MDERL",-11925064.24,4080262.5,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3260","SA-0191",NA,"241,126","3,760,960","6,898","X","","","112QTBF",-12000400.94,4023072.744,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3261","WL-0081",NA,"164,214","3,536,210","4,407","PL-01016","","","",-12083796.58,3751794.044,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3262","SO-0018",NA,"331,492","3,810,380","4,738","","","40","110ALVM",-11892673.73,4085496.032,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3263","DA-0086",NA,"334,556","3,576,880","4,040","","","632","112SNTF",-11884192.1,3804934.912,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3264","SO-0137",NA,"326,642","3,763,759","4,571","X","47","20","",-11897505.99,4028820.574,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3265","SA-0231",3.41e+14,"276,299","3,778,098","7,307","RG-78087","250","250","000IRSV ",-11958554.7,4044902.498,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3266","HS-022",NA,"289,799","3,667,695","4,243","X","","12","",-11939370.35,3912256.927,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3267","SA-0122",3.35e+14,"227,997","3,754,977","6,864","RG-61144","120","120","112QTBF",-12015992.52,4015398.106,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3268","SA-0135",NA,"271,980","3,697,961","5,252","RG-76210","220","220","112QTBFppm",-11961464.11,3948089.007,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3269","DA-0027",NA,"340,199","3,600,100","4,335","","","790","112SNTF",-11877958.74,3832655.25,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3270","BW-0022",NA,"359,395","3,584,420","4,333","","","600","110ALVM",-11854952.76,3814343.068,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3271","DA-0127",NA,"352,241","3,556,500","4,200","","","977","112SNTF",-11862934.6,3781075.821,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3272","SO-0082",NA,"321,580","3,823,570","5,007","","","","112SNTF",-11904981.85,4101325.421,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3273","SA-0062",3.35e+14,"208,650","3,745,050","6,803","X","","","112QTBF",-12038887.67,4002721.781,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3274","DA-0046",NA,"297,274","3,585,680","4,605","","","75","",-11928464.74,3814580.426,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3275","SA-0025",3.41e+14,"218,121","3,775,700","7,182","X","","","050QUAL",-12028610.4,4040107.653,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3276","SA-0163",NA,"253,951","3,722,681","6,394","RG-22137","105","50","050QUAL",-11983779.45,3977292.697,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3277","BW-0066",NA,"364,699","3,541,510","4,044","","","1,209","110ALVM",-11848000.83,3763522.011,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3278","DA-0071",NA,"283,762","3,577,550","4,410","","","18","050QUAL",-11944238.51,3804589.168,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3279","SO-0010",NA,"361,559","3,800,160","6,319","","","145","310ABO",-11856080.05,4073671.557,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3280","SA-0156",NA,"253,853","3,720,940","6,333","RG-22136 POD1","165","165","050QUAL",-11983843.4,3975193.05,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3281","DA-0173",NA,"311,965","3,530,170","4,120","","","","112SNTF",-11909875.33,3749120.632,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3282","DA-0012",NA,"340,140","3,618,290","4,500","","","","112SNTF",-11878374.42,3854329.2,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3283","SA-0108",NA,"253,769","3,716,768","6,470","RG-77851","125","125","112QTBFpd",-11983815.95,3970167.806,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3284","TO-0124",NA,"376,389","3,838,280","7,055","","","245","325MDER",-11838753.77,4120351.011,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3285","SO-0133",NA,"327,795","3,763,488","4,572","X","49","19","",-11896110.92,4028518.056,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3286","BW-0010",NA,"369,221","3,595,660","3,950","","","","110ALVM",-11843500.15,3827871.333,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3287","SO-0272",NA,"328,651","3,763,918","4,569","X","6","6","",-11895089.02,4029057.334,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3288","SO-0047",NA,"332,905","3,816,880","4,807","","","137","112SNTF",-11891104.27,4093436.294,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3289","SO-0079",NA,"313,109","3,815,950","5,584","","","30","410PRCG",-11915066.16,4091845.52,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3290","HS-109",NA,"289,366","3,668,451","4,319","X","","","",-11939906.11,3913151.545,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3291","SA-0043",3.35e+14,"240,777","3,755,558","6,913","X","","","112QTBF",-12000643.22,4016532.21,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3292","HS-012",NA,"289,524","3,667,924","4,247","HS-00001","110","110","",-11939704.16,3912524.202,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3293","DA-0140",NA,"338,411","3,549,660","3,890","","","718","112SNTF",-11879122.78,3772720.554,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3294","SA-0200",NA,"267,360","3,704,376","5,538","RG-32700","125","125","123DTMGrhydac",-11967173.95,3955667.022,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3295","BW-0672",NA,"377,738","3,808,250","6,379","","","26","310YESO",-11836634.53,4083783.123,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3296","SA-0112",NA,"234,542","3,768,235","6,999","X","305","305","112QTBFppm",-12008569.5,4031650.305,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3297","HS-049",NA,"289,965","3,667,714","4,240","HS-00450","43","43","",-11939172.89,3912283.966,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3298","SO-0104",NA,"369,662","3,812,950","5,835","","","21","310ABO",-11846493.53,4089368.617,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3299","TO-0200",NA,"374,619","3,842,060","7,280","","","8","325MDER",-11840966.52,4124935.819,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3300","SA-0029",3.4e+14,"249,289","3,768,062","6,966","RG-39324","259","259","112QTBF",-11990803.81,4031928.377,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3301","DA-0123",NA,"350,292","3,557,790","4,209","","","","112SNTF",-11865256.52,3782571.404,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3302","DA-0119",NA,"304,469","3,560,150","4,425","","","","",-11919370.86,3784445.406,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3303","SA-0068",3.34e+14,"252,029","3,730,435","6,638","X","250","250","112QTBFpd",-11986324.1,3986575.32,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3304","DA-0018",NA,"290,302","3,603,630","4,980","","","","112SNTF",-11937154.95,3835760.139,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3305","DA-0073",NA,"291,336","3,572,880","4,360","","","200","",-11935174.42,3799234.694,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3306","DA-0161",NA,"339,457","3,534,600","4,100","","","","",-11877610.61,3754912.417,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3307","WL-0017",NA,"176,595","3,805,560","6,884","G-00234 POD5","393","210","",-12079872.75,4074674.292,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3308","BW-0457",NA,"373,147","3,586,390","4,020","","","1,010","110ALVM",-11838710.85,3816902.853,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3309","SO-0073",NA,"324,399","3,812,180","4,939","","","190","112SNTF",-11901302.99,4087526.178,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3310","DA-0112",NA,"335,273","3,568,090","3,860","","","510","112SNTF",-11883175.18,3794512.934,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3311","SA-0066",3.35e+14,"257,849","3,740,219","7,090","X","280","280","050QUAL",-11979639.26,3998554.43,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3312","DA-0060",NA,"338,669","3,584,550","4,390","","","590","112SNTF",-11879475.47,3814127.824,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3313","SA-0229",3.35e+14,"198,777","3,740,290","6,812","RG-60975","120","120","",-12050562.62,3996610.633,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3314","BW-0506",NA,"367,841","3,706,010","5,125","","","175","261SNGL",-11846902.1,3959917.125,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3315","DA-0192",NA,"335,786","3,567,090","3,865","","","","050QUAL",-11882550.14,3793336.146,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3316","SA-0158",NA,"253,621","3,722,076","6,368","X","35","35","050QUAL",-11984156.42,3976553.879,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3317","SO-0129",NA,"327,656","3,764,171","4,573","X","50","19","110ALVM",-11896293.38,4029341.689,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3318","SO-0138",NA,"326,642","3,763,760","4,571","X","47","47","",-11897506.01,4028821.784,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3319","SA-0171",NA,"257,786","3,718,537","6,270","X","80","80","112QTBFpd",-11979056.77,3972420.156,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3320","SA-0065",3.35e+14,"160,751","3,746,060","6,307","X","100","100","112QTBF",-12096432.24,4002027.241,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3321","SA-0176",NA,"256,000","3,760,646","7,331","X","540","540","112QTBFppm",-11982490.39,4023170.513,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3322","HS-019",NA,"289,627","3,667,745","4,243","HS-01090","42","42","",-11939576.74,3912312.398,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3323","TO-0126",NA,"377,326","3,834,440","6,810","","","19","112QTBF",-11837553.45,4115680.917,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3324","SO-0171",NA,"329,312","3,755,371","4,551","X","51","50","110ALVM",-11894107.15,4018730.982,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3325","SA-0008",3.42e+14,"249,866","3,798,496","7,583","","","","112QTBFppm/123DTMGign",-11991085.89,4068830.578,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3326","BW-0016",NA,"363,923","3,590,500","4,057","","","1,111","110ALVM",-11849692.84,3821647.575,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3327","SO-0071",NA,"326,460","3,813,660","4,783","","","85","112SNTF",-11898840.55,4089373.867,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3328","SO-0276",NA,"328,580","3,763,955","4,568","X","3","3","",-11895175.37,4029100.562,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3329","DA-0070",NA,"348,690","3,583,600","4,930","","","204","112SNTF",-11867603.33,3813183.674,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3330","DA-0001",NA,"337,268","3,629,340","4,800","","","","112SNTF",-11881998.68,3867459.6,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3331","SA-0169",NA,"262,322","3,722,871","7,021","X","33","33","050QUAL",-11973749.73,3977775.711,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3332","WL-0178",NA,"135,422","3,707,797","5,183","GSF-02107 1","280","280","",-12125082.7,3954872.938,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3333","HS-062",NA,"288,638","3,679,885","4,822","X","600","600","",-11941069.92,3926840.468,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3334","TO-0119",NA,"373,278","3,833,920","7,335","","","140","325MDER",-11842460.44,4114979.928,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
