PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
SA-0049,3.35535E+14,205350,3758670,6931.68,X,,,112QTBF,1076,-108.1873259,33.92728464
AS-029,,451520,4042080,8134.3,RG-54271,250,250,,1077,-105.5415084,36.52286455
HS-112,,289250,3668485,4333.8,X,,,,1078,-107.2592521,33.13464338
AR-0041,,221789,4074810,5467.31,X,,,,1079,-108.1173489,36.77827991
MI-0073,,448644,3921181,6401.44,,,12,321SGDC,1080,-105.5657969,35.43274567
MI-0163,,562249,3927393,4479.62,,,158,231SNRS,1081,-104.3137462,35.48813189
MI-0019,,438302,3903782,6862.04,,,160,110AVMB,1082,-105.6784145,35.27528381
QY-0831,,632491,3856880,4770,,239,239,121OGLL,1083,-103.5508502,34.84562049
AS-026,,450771,4042430,7983.97,RG-68531,650,650,,1084,-105.5498964,36.52598144
DA-0193,,338452,3564650,3850,,,,050QUAL,1085,-106.7140686,32.20683743
SD-0286,,381063,3888440,6886.02,X,287,287,325MDER,1086,-106.3054639,35.13181338
EB-573,,401990,3939964,6223.12,RG-41775,373,370,121TSUQs,1087,-106.08199,35.59857383
SV-0031,,376748,3899282,6699.29,RG-75185 POD2,420,420,325MDER,1088,-106.3544345,35.22903085
EB-198,,415952,3958391,6830.3,RG-58127,135,135,121TSUQs,1089,-105.9298018,35.76598279
NM-26928,,371796,3905410,6353,,,100,325MDER,1090,-106.4097944,35.28364958
UC-0073,3.62657E+14,613188,4034456,6006.52,X,52,52,211DKOT,1091,-103.736983,36.44867937
TO-0450,,402882,3884790,6309.41,,,150,112QTBF,1092,-106.0655906,35.10124906
MG-023,,294283,3771025,7337.15,RG-36094,182,182,,1093,-107.2289935,34.05977596
SA-0140,,269867,3700759,5380.84,X,,,112QTBFppm,1094,-107.4750761,33.4215424
SD-0189,,379518,3885920,6905.1,X,350,350,325MDER,1095,-106.3220507,35.1089121
QY-0318,,630388,3888450,3990,,83,83,231CHNL,1096,-103.5689008,35.13048482
BC-0201,,377678,3891910,6811.66,,,,,1097,-106.3431227,35.16268866
EM-0001,,194260,3882640,7291.46,X,8,8,,1098,-108.3515093,35.04021749
JM-020,,310632,3669681,4758.29,RG-54779,500,500,,1099,-107.0304171,33.14937026
TO-0194,,432661,3837900,6313.03,,,180,400PREC,1100,-105.7351083,34.68088018
MI-0133,,479138,3929441,6419.56,,,215,211DKOT/217PRGR,1101,-105.2300618,35.50833015
CX-0105,,545887,4078890,6485,,,71,110ALVM,1102,-104.4852657,36.85481782
EB-278,,413025,3949523,6870.98,X,480,480,121TSUQs,1103,-105.9612172,35.68578236
BW-0189,,401811,3660900,4420,,,,110ALVM,1104,-106.0520591,33.0822794
CX-0077,,550388,4018520,5865,,,,211GRRS,1105,-104.4387309,36.31037535
QY-0021,,604717,3885320,4310,,83,83,221MRSN,1106,-103.8509996,35.10526598
EB-376,,413721,3940476,6877.96,RG-51865,520,520,121TSUQa,1107,-105.9525576,35.60428276
CX-0118,,540497,4064070,6250,,,31,110ALVM,1108,-104.546515,36.72146982
TC-249,3.64057E+14,439905,4059798,7584.87,X,550,550,122SNTFL,1109,-105.6726204,36.68192244
BC-0256,,378544,3890660,6789.46,,,,,1110,-106.3334323,35.15152525
BC-0115,,377261,3871350,7513,,,,,1111,-106.3446563,34.97729265
TO-0103,,405219,3827400,6110,,,,112QTBF,1112,-106.033464,34.58403221
EB-396,,403630,3929064,6171.05,RG-27728,105,105,112ANCH,1113,-106.0625907,35.50047079
BC-0192,,375688,3897720,6923,S-00943,300,300,,1114,-106.365844,35.21481925
EB-043,,416147,3942105,7152.34,RG-51130,420,420,400EMBD,1115,-105.9259462,35.61917749
BW-0025,,360407,3584610,4270,,,290,110ALVM,1116,-106.4841246,32.38978715
AR-0054,,235654,4084290,5685.269,SJ-02049,26,26,,1117,-107.9654801,36.86759318
BW-0272,,405427,3654380,4410,,,50,110ALVM,1118,-106.0126473,33.02379712
ED-0158,,540553,3580580,4130,,,,110ALVM,1119,-104.5689766,32.36143284
TV-110,,439656,4024799,6758.44,RG-88016,298,298,120SRVB,1120,-105.6726701,36.36640719
TB-0032,,401759,3683043,4580.89,T-02020,424,424,112QTBF,1121,-106.055007,33.28197323
TO-0435,,470168,3873500,6133.77,,,1054,310YESO,1122,-105.3269438,35.00368584
PC-055,,372911,3911968,6027,RG-66261,300,300,122SNTFP,1123,-106.3985541,35.34290751
BW-0030,,359152,3582880,4334.65,,,2000,110ALVM,1124,-106.4972061,32.37402792
BC-0219,,373324,3882450,6278.01,,,,,1125,-106.3894689,35.07687111
MI-0225,,596406,3940420,4794.29,,,70,211DKOT/217PRGR,1126,-103.9356795,35.60284245
QY-0639,,611307,3836090,4700,,58,58,121OGLL,1127,-103.785254,34.66072247
SV-0014,,380340,3899698,6474.19,RG-64172,268,268,325MDER,1128,-106.3150317,35.23321617
WL-0046,,441001,4049807,7243.73,X,,,112QTBF,1129,-105.6595861,36.59192839
ED-0345,,561260,3556180,3410,,,65,110ALVM,1130,-104.3504634,32.14037928
BC-0161,,375550,3892760,7141,S-02359,385,385,,1131,-106.3666108,35.17008981
ED-0221,,575656,3582080,3125,,,200,110ALVM,1132,-104.1957755,32.37313651
BW-0396,,410065,3631240,4163,,,251,110ALVM,1133,-105.9607344,32.81548544
PP-069,,436916,4002851,7631,RG-73948,100,100,123PICSu,1134,-105.7014394,36.16837312
QY-0835,,646986,3855210,4610,,249,249,121OGLL,1135,-103.3926522,34.82857494
DA-0129,,284347,3550780,4190,,,,112SNTF,1136,-107.2846703,32.07272519
QY-0073,,626654,3880380,4140,,134,134,231CHNL,1137,-103.6111078,35.05821363
BW-0122,,410972,3698740,5805,,,170,211MVRD,1138,-105.9576314,33.42433856
QU-121,,439316,4071765,7457.56,RG-76618,270,270,,1139,-105.6801634,36.78975791
TO-0427,,418924,3868700,6321.96,,,150,310GLOR,1140,-105.8880276,34.95759583
AR-0019,,231810,4078110,5646.83,SJ-03718,68,68,,1141,-108.0063687,36.81087606
SD-0324,,369672,3909240,5760.8,X,167,167,211MVRD,1142,-106.4337533,35.3178994
NM-26726,3.65359E+14,442902,4083911,7544,RG-01441 S8,,476,110AVMB,1143,-105.6408865,36.89946623
EB-664,,407622,3939532,6473.3,RG-86218,1400,1400,121TSUQs,1144,-106.0197753,35.59522145
QU-083,,443489,4061245,7356.05,?,229,227,,1145,-105.6326158,36.69518603
TO-0264,,394269,3856300,6355,,,65,325MDER,1146,-106.15646,34.84352623
BW-0281,,409918,3651100,4600,,,275,110ALVM,1147,-105.9642441,32.99459545
QY-0493,,646948,3941480,4450,,245,245,121OGLL,1148,-103.3776644,35.60617748
ED-0334,,582547,3566760,3065,,,,110ALVM,1149,-104.1238611,32.23445671
QY-0920,,641175,3867190,4470,,90,90,110ALVM,1150,-103.4541559,34.9373895
HS-089,,289763,3667575,4236.9,X,176,176,,1151,-107.2535467,33.12654096
QY-0869,,610179,3863870,4360,,80,80,231CHNL,1152,-103.7939213,34.91130239
DA-0061,,339072,3584540,4410,,,615,112SNTF,1153,-106.7108594,32.38628181
BC-0018,,368444,3882170,6243,RG-30171,145,145,,1154,-106.4429365,35.07372206
SO-0143,,327164,3763807,4571.22,X,52,51,,1155,-106.8714747,34.00065691
BW-0500,,399822,3729340,5160,,,700,300YESO,1156,-106.0809808,33.69930428
EB-432,,412783,3935231,6632.34,RG-57463,440,440,121TSUQae,1157,-105.9623462,35.55691521
AR-0008,,226419,4076530,5504.35,SJ-02653,21,21,,1158,-108.0661554,36.79511074
SD-0109,,389202,3874470,6763.32,X,465,465,325MDER,1159,-106.2142816,35.00679886
SD-0060,,391488,3863710,6607.99,X,,,325MDER,1160,-106.1878327,34.91003947
TO-0050,,423556,3812990,6234.9,,,,112QTBF,1161,-105.8322522,34.45562362
BW-0026,,357794,3585230,4500,,,515,110ALVM,1162,-106.5119902,32.39504827
BW-0342,,408897,3637110,4257,,,,110ALVM,1163,-105.9737879,32.86833238
BC-0148,,377013,3890380,6970,S-00907,450,450,,1164,-106.3501948,35.148815
TC-301,,446413,4081333,7530.67,RG-35552,125,125,,1165,-105.6012983,36.87643389
