PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ProjectName,MonitoringStatus,ObjectID,x,y
SV-0127,,379213,3899826,6613.15,RG-63129,350,350,325MDER,Water Level Network,H,429,-106.3274329,35.23423487
SV-0128,,378935,3899861,6566.04,RG-63508,325,325,325MDER,Water Level Network,H,430,-106.3304925,35.23451684
SV-0136,,380785,3900570,6340.07,RG-95873,278,278,325MDER,Water Level Network,H,431,-106.3102689,35.24113004
SV-0137,,379805,3898959,6606.39,RG-66663,350,350,325MDER,Water Level Network,H,432,-106.3208018,35.2264903
SV-0138,,380090,3899253,6707.15,RG-64552,450,450,325MDER,Water Level Network,H,433,-106.3177136,35.22917475
TV-121,,439039,4024722,6732.28,RG-67154,215,215,112LAMAb/120SRVB,Water Level Network,D,437,-105.6795414,36.36567414
WL-0018,,176649,3805600,6881,G-00234 POD6,209,140,110ALVM/124BACA,Water Level Network,W,439,-108.5147723,34.34131662
WL-0022,,330664,3802027,4824,RG-32310,400,400,112SNTFU,Water Level Network,W,440,-106.8410627,34.34574322
WL-0028,,268509,4098043,6160,SJ-03117,160,160,124SNJS,Water Level Network,D,441,-107.6014859,37.00006565
WL-0058,,215533,3907690,7533.72,B-01174 S,235,235,313SADG,Water Level Network,W,443,-108.1272634,35.27197791
WL-0060,,476983,3932898,6474.41,UP-01089,280,280,231CHNL,Water Level Network,W,444,-105.2539237,35.53945279
WL-0062,,340903,3953588,5868.3,RG-77817,45,45,111ALVM,Water Level Network,A,445,-106.7588207,35.7134169
WL-0063,,348311,3885183,4959.83,X,,,110PTODC,Water Level Network,W,446,-106.6642328,35.09805199
WL-0124,,167626,3940060,6590.3,G-02390,350,350,231CHNL,Water Level Network,W,453,-108.6662204,35.54850748
WL-0148,,414236,3917349,6036,RG-81683,100,100,,Water Level Network,A,455,-105.9444286,35.39582691
WL-0160,,369495,3908452,5792,RG-51025,125,125,,Water Level Network,A,456,-106.4355744,35.31077316
SV-0097,,379980,3901402,6368.56,RG-73017,365,365,325MDER,Water Level Network,H,458,-106.3192359,35.24853416
SV-0099,,380114,3900205,6416.66,RG-66741,200,200,325MDER,Water Level Network,H,459,-106.3175887,35.23775962
SV-0100,,380195,3900475,6390.12,RG-86507,125,115,325MDER,Water Level Network,H,460,-106.3167381,35.24020328
SV-0102,,380387,3900920,6358.56,RG-96300,205,205,325MDER,Water Level Network,H,461,-106.3146931,35.24423775
SV-0104,,381301,3898331,6414.88,X,,185,325MDER,Water Level Network,H,462,-106.3042759,35.22100726
SV-0110,,379957,3898396,6647.97,RG-65094,480,480,325MDER,Water Level Network,H,463,-106.3190498,35.22143323
SV-0112,,379489,3898392,6625.71,RG-65996,390,390,325MDER,Water Level Network,H,464,-106.3241904,35.22134103
SV-0114,,379816,3898707,6614.13,X,,,325MDER,Water Level Network,H,465,-106.3206442,35.22421991
SV-0122,,377488,3901340,6538.5,RG-78872,260,260,310ABO,Water Level Network,H,466,-106.3466113,35.24767359
SV-0124,,377537,3901621,6522.53,RG-68381,200,200,318ABO,Water Level Network,H,467,-106.3461147,35.25021268
SV-0130,,379292,3900467,6425.15,RG-64281,200,200,325MDER,Water Level Network,H,468,-106.326659,35.24002279
SV-0132,,377255,3900822,6591.58,RG-93718,340,340,325MDER,Water Level Network,H,469,-106.3490944,35.24297552
SV-0134,,380579,3899471,6464.55,RG-79866 POD1,200,200,325MDER,Water Level Network,H,470,-106.3123729,35.23119834
SV-0140,,380660,3901000,6347.2,RG-95193,400,400,325MDER,Water Level Network,H,471,-106.3117049,35.24499149
SV-0142,,380775,3899677,6415.1,RG-71097 POD2,,400,325MDER,Water Level Network,H,472,-106.3102493,35.2330787
TV-196,362117000000000,436924,4023509,6695.87,RG-80207,450,450,120SRVB/112LAMAb,Water Level Network,D,474,-105.7030173,36.35460287
WL-0013,,533691,3974006,6040,CR-00286,98,98,211DKOT,Water Level Network,W,477,-104.6266209,35.90978409
WL-0014,,533794,3974071,6033,CR-03954,160,160,211DKOT,Water Level Network,A,478,-104.6254767,35.91036656
WL-0015,,507211,3961445,6371,CR-05150,245,245,210MNCS/120IRSV,Water Level Network,W,479,-104.9202049,35.79708605
WL-0021,,420007,3926549,6472,RG-44021,,101,110ALVM/124DMDT,Water Level Network,W,480,-105.8817903,35.47925162
WL-0032,,394768,3917819,6112,RG-64016,220,220,120IRSV/211MENF,Water Level Network,W,482,-106.1588321,35.39819795
WL-0044,,433725,4037446,7005.04,RG-94681,630,630,120SRVB,Water Level Network,W,487,-105.7398596,36.48002376
WL-0052,,441286,4049399,7202.43,RG-57632,60,60,112QTBF,Water Level Network,A,488,-105.656369,36.58826808
WL-0053,,463702,3964783,7438.61,CR-02380,245,245,400PREC/320PENN,Water Level Network,A,489,-105.4018705,35.82653688
WL-0054,,462880,3963668,7590.88,CR-02381,,,410PRCG,Water Level Network,H,490,-105.410919,35.81645329
WL-0079,,432622,3934543,7331.96,RG-59658,,700,,Water Level Network,A,493,-105.7434079,35.55226073
WL-0179,,433963,3938678,7333,X,,,,Water Level Network,A,498,-105.7289511,35.58963162
WL-0093,,400483,3846907,6174.16,E-00117?,,,112QTBF/310YESO,Water Level Network,W,500,-106.0873918,34.75946511
WL-0111,,441282,4049908,7280,RG-61037,115,115,112QTBF,Water Level Network,A,504,-105.6564525,36.59285619
WL-0113,,442809,4050221,7447,X,,,112QTBF,Water Level Network,A,505,-105.6394056,36.59577052
WL-0121,,439113,3926556,6837.74,UP-00268,250,250,325ALMT,Water Level Network,A,506,-105.671196,35.4806698
WL-0123,,437556,3938914,7059.23,UP-04125,147,147,325ALMT,Water Level Network,A,507,-105.6893111,35.59199271
WL-0140,,369003,3911575,5674,RG-70606,400,400,,Water Level Network,A,510,-106.4414846,35.33885982
WL-0150,,395009,3918090,6085,RG-26824 S-3,,840,,Water Level Network,W,511,-106.1562136,35.40066645
WL-0151,,341692,3950613,5723,RG-46073 POD2,70,28,,Water Level Network,W,512,-106.7495161,35.6867328
BC-0325,,378869,3885710,6849,,,360,,Water Level Network,H,513,-106.3291397,35.10694112
BC-0327,,378985,3885470,6909,,,,,Water Level Network,H,514,-106.3278321,35.1047915
BC-0328,,378430,3885540,6813,,,,,Water Level Network,H,515,-106.3339306,35.1053557
NM-23320,351412000000000,378826,3900126,6532,RG-63865,275,275,325MDER,Water Level Network,H,516,-106.3317292,35.23689255
NM-23363,351448000000000,379991,3901208,6374,RG-74125 CLW,365,365,325MDER,Water Level Network,H,517,-106.3190866,35.24678663
PB-0012,,375279,3937132,5209,X,,,,Water Level Network,A,518,-106.3763609,35.57003848
PC-055,,372911,3911968,6027,RG-66261,300,300,122SNTFP,Water Level Network,A,519,-106.3985541,35.34290751
PC-121,,371074,3907163,6337.4,RG-67002 X1,270,270,325MDERL,Water Level Network,A,520,-106.4180073,35.29935876
SA-0009,341243000000000,253037,3788905,7050.43,X,,,112QTBFppm/123DTMGign,Water Level Network,DA,521,-107.6805937,34.21194109
SV-0006,,377472,3900270,6600.96,RG-67952,200,200,325MDER,Water Level Network,H,529,-106.3466276,35.23802603
SV-0008,,377183,3900343,6623.98,RG-72245 POD3,320,320,325MDER,Water Level Network,H,530,-106.3498139,35.23864872
SV-0016,,379408,3899915,6537.35,RG-63734,275,275,325MDER,Water Level Network,H,531,-106.3253035,35.23506066
SV-0018,,379441,3899104,6564.78,RG-94354,400,400,325MDER,Water Level Network,H,532,-106.324822,35.22775372
SV-0020,,381515,3898523,6360.53,RG-79450,400,400,325MDER,Water Level Network,H,533,-106.3019526,35.22276341
SV-0021,,381333,3899133,6373.62,RG-77825,180,180,325MDER,Water Level Network,H,534,-106.30404,35.22824089
SV-0025,,380761,3899884,6382.39,RG-72068,100,100,325MDER,Water Level Network,H,535,-106.3104331,35.23494309
SV-0026,,380673,3900754,6321.51,RG-69329,125,125,325MDER,Water Level Network,H,536,-106.3115263,35.24277542
SV-0035,,377615,3900805,6544.5,RG-83981,285,285,310ABO,Water Level Network,H,537,-106.345136,35.24286631
SV-0036,,377744,3901229,6529.32,RG-67141,300,300,325MDER/310ABO,Water Level Network,H,538,-106.3437816,35.24670424
SV-0042,,380497,3900361,6370.29,X,,,325MDER,Water Level Network,H,539,-106.3134031,35.23921166
SV-0046,,380303,3899100,6738.4,RG-88243,560,560,325MDER,Water Level Network,H,540,-106.3153512,35.22782096
SV-0048,,380264,3898542,6788.88,RG-72841,575,575,325MDER,Water Level Network,H,541,-106.3156985,35.22278608
SV-0053,,378300,3898546,6673.72,RG-65691,425,425,325MDER,Water Level Network,H,542,-106.3372748,35.22258569
SV-0057,,376908,3899991,6663.78,RG-80840,280,280,325MDER,Water Level Network,H,543,-106.3527828,35.23544185
SV-0059,,379076,3898511,6581.57,RG-77619,440,440,325MDER,Water Level Network,H,544,-106.3287449,35.22236406
SV-0062,,379432,3898138,6630.06,RG-64781,440,440,325MDER,Water Level Network,H,545,-106.3247793,35.21904445
SV-0064,,378313,3901230,6473.86,RG-68877,365,365,325MDER,Water Level Network,H,546,-106.3375292,35.24678253
SV-0070,,378329,3899224,6547.12,X,,,325MDER,Water Level Network,H,547,-106.3370565,35.22870114
SV-0075,,377687,3899419,6658.14,RG-66435,475,475,325MDER,Water Level Network,H,548,-106.3441387,35.23038086
SV-0076,,377829,3899389,6627.89,RG-66436,375,375,325MDER,Water Level Network,H,549,-106.3425742,35.23012774
SV-0080,,377547,3898112,6991.48,X,,,325MDER,Water Level Network,H,550,-106.3454823,35.21858167
SV-0081,,377522,3898349,6969.08,RG-81065,785,785,325MDER,Water Level Network,H,551,-106.3457922,35.22071508
SV-0085,,377026,3898867,6807.04,RG-89228,220,220,325MDER,Water Level Network,H,552,-106.3513183,35.22532394
SV-0096,,379681,3901577,6369.55,RG-72477,210,210,310ABO,Water Level Network,H,553,-106.3225472,35.25007586
SV-0098,,380030,3901606,6355.34,RG-80904,340,340,325MDER,Water Level Network,H,554,-106.3187162,35.25037914
SV-0103,,380634,3901146,6337.78,RG-62940,350,350,325MDER,Water Level Network,H,555,-106.3120118,35.24630454
SV-0108,,380260,3898096,6639.34,RG-84111,460,460,325MDER,Water Level Network,H,556,-106.3156775,35.21876504
SV-0113,,379852,3898575,6627.77,RG-86442,360,360,325MDER,Water Level Network,H,557,-106.3202294,35.22303428
SV-0118,,378619,3899535,6502.06,RG-86268,400,400,325MDER,Water Level Network,H,558,-106.3339163,35.23153985
SV-0123,,377189,3901523,6560.64,X,,,318ABO,Water Level Network,H,559,-106.3499243,35.24928664
SV-0125,,378913,3897968,6629.67,RG-65340,375,375,325MDER,Water Level Network,H,560,-106.3304556,35.21744942
SV-0129,,378935,3900015,6555.38,RG-71350,300,300,325MDER,Water Level Network,H,561,-106.3305152,35.2359051
SV-0133,,376756,3899305,6698.15,RG-75185 POD1,240,240,325MDER,Water Level Network,H,562,-106.3543501,35.22923917
SV-0135,,379667,3898965,6583.95,RG-85608,350,350,325MDER,Water Level Network,H,563,-106.3223188,35.22652783
SV-0139,,379505,3901088,6402.91,RG-91144,260,260,310ABO,Water Level Network,H,564,-106.3244096,35.24564653
SV-0143,,380387,3900093,6401.16,RG-64870 POD2,,,325MDER,Water Level Network,H,565,-106.3145728,35.23678259
TV-157,362102000000000,443055,4023036,6932.31,RG-87082,230,230,121CHMT,Water Level Network,D,567,-105.6346542,36.35072132
WL-0017,,176595,3805560,6884,G-00234 POD5,393,210,,Water Level Network,A,568,-108.5153432,34.34093972
WL-0027,,281425,3895326,6379,RG-29351,450,450,211DKOT,Water Level Network,A,569,-107.4002559,35.17714564
WL-0036,,364401,3899703,6878,RG-84370,520,520,400SAND,Water Level Network,AH,571,-106.490147,35.23123176
WL-0057,,217911,3911650,7479.91,X,,270,313SADR,Water Level Network,W,572,-108.1025169,35.30830548
WL-0072,,476216,3932773,6551.18,UP-04675,,,231CHNL,Water Level Network,D,576,-105.2623811,35.53830761
WL-0183,,439515,3929338,6770,UP-01865,260,260,,Water Level Network,A,586,-105.6669721,35.50577714
WL-0186,,439186,3932745,6828,UP-04460,800,800,,Water Level Network,A,587,-105.6708553,35.53647469
NM-23274,351344000000000,378823,3899250,6525,RG-67142,355,355,325MDER,Water Level Network,H,589,-106.331633,35.22899535
NM-23281,351347000000000,381189,3899306,6383,RG-65109,175,175,325MDER,Water Level Network,H,590,-106.305647,35.22978339
NM-23298,351356000000000,377060,3899617,6642,RG-79292,300,300,325MDER,Water Level Network,H,591,-106.3510569,35.23208905
NM-23353,351437000000000,377806,3900902,6516,RG-80769,240,240,325MDER,Water Level Network,H,592,-106.3430517,35.24376404
QU-036,,445785,4056294,8333.44,RG-79272 X3,865,835,112QTBF,Water Level Network,A,593,-105.6065644,36.65068941
QU-100,363811000000000,445690,4061382,7286,X,239,30,112QTBF,Water Level Network,D,594,-105.607988,36.69654936
QU-101,,445690,4061382,7286,X,239,143,112QTBF,Water Level Network,A,595,-105.607988,36.69654936
SV-0001,,378157,3900443,6532.28,RG-67003,170,170,325MDER,Water Level Network,H,604,-106.3391268,35.23966907
SV-0005,,377593,3900379,6583.2,RG-77718,280,280,325MDER,Water Level Network,H,605,-106.3453144,35.23902341
SV-0010,,376865,3900217,6647.37,RG-74186 CLW,240,240,325MDER,Water Level Network,H,606,-106.3532891,35.23747386
SV-0011,,380703,3898275,6525.55,RG-62656,250,250,325MDER,Water Level Network,H,607,-106.3108371,35.22043147
SV-0015,,380063,3899931,6458.37,RG-62970 POD2,263,263,325MDER,Water Level Network,H,608,-106.3181091,35.23528349
